tracks;Computer Science has 6 tracks: Computer Science, Artificial Intelligence, Cyber Security, Data Science and Engineering, Software Engineering, Graphics and Game programming
apply;you can apply through this link ->  https://eui.edu.eg/en/apply-now/online-admission/
what do;I'm J.A.R.V.I.S, EUI's (Not so smart) chatbot and I'm here to answer your questions concerning the faculty of Computing and Information Sciences
what job;I'm J.A.R.V.I.S, EUI's (Not so smart) chatbot and I'm here to answer your questions concerning the faculty of Computing and Information Sciences
job;I'm J.A.R.V.I.S, EUI's (Not so smart) chatbot and I'm here to answer your questions concerning the faculty of Computing and Information Sciences
what;I'm J.A.R.V.I.S, EUI's (Not so smart) chatbot and I'm here to answer your questions concerning the faculty of Computing and Information Sciences
who;I'm J.A.R.V.I.S, EUI's (Not so smart) chatbot and I'm here to answer your questions concerning the faculty of Computing and Information Sciences
hi;hi
good morning;good morning
hey;hey
hello;hello
what's up ?;good
good morning;good morning
good afternoon;good afternoon
good evening;good evening
good night;good night
bonjour;bonjour
hola;hola
hallo;hallo
morning;morning to you
courses semester 1 year 2;The courses provided in the third semester are (Data Structure, Discrete Mathematics, Intoduction to Probability and Statistics,Computer Architecture and Organization, Entrepreneurship (elective) )
subjects semester 1 year 2;The courses provided in the third semester are (Data Structure, Discrete Mathematics, Intoduction to Probability and Statistics,Computer Architecture and Organization, Entrepreneurship (elective) )
courses semester 2 year 2;The courses provided in the fourth semester are (Algorithms Design and Analysis, Computational Linear Algebra, Data Analysis, Advanced Programming, Ethics of AI (elective) )
subjects semester 2 year 2;The courses provided in the fourth semester are (Algorithms Design and Analysis, Computational Linear Algebra, Data Analysis, Advanced Programming, Ethics of AI (elective) )
courses semester 1;The courses provided in the first semester are (Calculus 1, Elementary Physics, Introduction to Computing and Programming, English, Critical Thinking (elective) )
subjects semester 1;The courses provided in the first semester are (Calculus 1, Elementary Physics, Introduction to Computing and Programming, English, Critical Thinking (elective) )
courses semester 2;The courses provided in the second semester are (Calculus 2, Advanced Physics, Programming Fundumentals, Digital Logic Design, Human Biology (elective) )
subjects semester 2;The courses provided in the second semester are (Calculus 2, Advanced Physics, Programming Fundumentals, Digital Logic Design, Human Biology (elective) )
courses semester 3;The courses provided in the third semester are (Data Structure, Discrete Mathematics, Intoduction to Probability and Statistics,Computer Architecture and Organization, Entrepreneurship (elective) )
subjects semetser 3;The courses provided in the third semester are (Data Structure, Discrete Mathematics, Intoduction to Probability and Statistics,Computer Architecture and Organization, Entrepreneurship (elective) )
courses semester 4;The courses provided in the fourth semester are (Algorithms Design and Analysis, Computational Linear Algebra, Data Analysis, Advanced Programming, Ethics of AI (elective) )
subjects semester 4;The courses provided in the fourth semester are (Algorithms Design and Analysis, Computational Linear Algebra, Data Analysis, Advanced Programming, Ethics of AI (elective) )
transportation;EUI provides multiple bus routes, you can check them by visiting the following link -> https://eui.edu.eg/en/admission/the-buses-routes/
buses;EUI provides multiple bus routes, you can check them by visiting the following link -> https://eui.edu.eg/en/admission/the-buses-routes/
fees;The fees for Computer Science students are 172,400 before the discount. After the discount the fees are 103,440. There are additional dicounts and scholarships, visit the following link to know more -> https://eui.edu.eg/en/admission/tuition-fees/
requirements;You can visit this link to know the requirements for your specific diploma -> https://eui.edu.eg/en/admission/credentials-and-entry-requirements/
